address,city,state,postal_code,latitude,longitude,brand,cheap,fresh,variety,friendly,city_state,state_full_name
"25401 Eastern Marketplace Plaza Chantilly, VA 20152",Chantilly,VA,20152,38.9151888,-77.4894456,kroger,4,3,4,3,"Chantilly, VA",Virginia
"10060 Market Circle Manassas, VA 20110",Manassas,VA,20110,38.7390758,-77.452844,kroger,4,3,4,3,"Manassas, VA",Virginia
"43300 Southern Walk Plaza Ashburn, VA 20148",Ashburn,VA,20148,39.0086515,-77.5032675,kroger,4,3,4,3,"Ashburn, VA",Virginia
"42415 Ryan Road Brambleton, VA 20148",Brambleton,VA,20148,38.9858972,-77.5349995,kroger,4,3,4,3,"Brambleton, VA",Virginia
"24441 Stone Springs Blvd Sterling, VA 20166",Sterling,VA,20166,38.9412588,-77.5448447,kroger,4,3,4,3,"Sterling, VA",Virginia
"42015 Village Center Plaza Suite 110 Aldie, VA 20105",Aldie,VA,20105,38.9392467,-77.549023,kroger,4,3,4,3,"Aldie, VA",Virginia
"10438 Bristow Center Dr Bristow, VA 20136",Bristow,VA,20136,38.7323471,-77.5499928,kroger,4,3,4,3,"Bristow, VA",Virginia
"13901 Heathcote Blvd. Gainesville, VA 20155",Gainesville,VA,20155,38.8078308,-77.611825,kroger,4,3,4,3,"Gainesville, VA",Virginia
"530 Fletcher Dr Warrenton, VA 20186",Warrenton,VA,20186,38.727285,-77.7959607,kroger,4,3,4,3,"Warrenton, VA",Virginia
"44900 Saint Andrews Church Rd California, MD 20619",California,MD,20619,38.302746,-76.523278,kroger,4,3,4,3,"California, MD",Maryland
"9351 Atlee Rd Mechanicsville, VA 23116",Mechanicsville,VA,23116,37.651862,-77.4023142,kroger,4,3,4,3,"Mechanicsville, VA",Virginia
"11895 W Broad St Richmond, VA 23233",Richmond,VA,23233,37.6528767,-77.6257764,kroger,4,3,4,3,"Richmond, VA",Virginia
"9480 W Broad St Henrico, VA 23294",Henrico,VA,23294,37.6411047,-77.55518,kroger,4,3,4,3,"Henrico, VA",Virginia
"9000 Staples Mill Road Henrico, VA 23228",Henrico,VA,23228,37.6371706,-77.5146395,kroger,4,3,4,3,"Henrico, VA",Virginia
"6335 Mechanicsville Tpke Mechanicsville, VA 23111",Mechanicsville,VA,23111,37.6147813,-77.319389,kroger,4,3,4,3,"Mechanicsville, VA",Virginia
"1356 Gaskins Rd Richmond, VA 23238",Richmond,VA,23238,37.6066106,-77.5921409,kroger,4,3,4,3,"Richmond, VA",Virginia
"1510 Eastridge Rd Richmond, VA 23229",Richmond,VA,23229,37.6036466,-77.5618116,kroger,4,3,4,3,"Richmond, VA",Virginia
"1601 Willow Lawn Dr Ste 1 Richmond, VA 23230",Richmond,VA,23230,37.5800889,-77.4992451,kroger,4,3,4,3,"Richmond, VA",Virginia
"901 N Lombardy St Richmond, VA 23220",Richmond,VA,23220,37.5559553,-77.4538601,kroger,4,3,4,3,"Richmond, VA",Virginia
"3507 W Cary St Richmond, VA 23221",Richmond,VA,23221,37.5544269,-77.4879735,kroger,4,3,4,3,"Richmond, VA",Virginia
"4816 S Laburnum Ave Richmond, VA 23231",Richmond,VA,23231,37.5197952,-77.351953,kroger,4,3,4,3,"Richmond, VA",Virginia
"3001 Polo Pkwy Midlothian, VA 23113",Midlothian,VA,23113,37.525986,-77.608528,kroger,4,3,4,3,"Midlothian, VA",Virginia
"7000 Tim Price Way North Chesterfield, VA 23225",North Chesterfield,VA,23225,37.498952,-77.52557,kroger,4,3,4,3,"North Chesterfield, VA",Virginia
"14101 Midlothian Tpke Midlothian, VA 23113",Midlothian,VA,23113,37.5044545,-77.6636743,kroger,4,3,4,3,"Midlothian, VA",Virginia
"2821 Hicks Rd North Chesterfield, VA 23235",North Chesterfield,VA,23235,37.4619237,-77.5484941,kroger,4,3,4,3,"North Chesterfield, VA",Virginia
"13201 Rittenhouse Dr Midlothian, VA 23112",Midlothian,VA,23112,37.4154331,-77.638893,kroger,4,3,4,3,"Midlothian, VA",Virginia
"10800 Iron Bridge Road Chester, VA 23831",Chester,VA,23831,37.367386,-77.501722,kroger,4,3,4,3,"Chester, VA",Virginia
"12726 Jefferson Davis Hwy Chester, VA 23831",Chester,VA,23831,37.3519264,-77.4148647,kroger,4,3,4,3,"Chester, VA",Virginia
"6485 Centerville Road Williamsburg, VA 23188",Williamsburg,VA,23188,37.3389176,-76.7561377,kroger,4,3,4,3,"Williamsburg, VA",Virginia
"7254 Hayes Shopping Court Hayes, VA 23072",Hayes,VA,23072,37.29393,-76.511687,kroger,4,3,4,3,"Hayes, VA",Virginia
"1470 Quarterpath Rd Williamsburg, VA 23185",Williamsburg,VA,23185,37.2487143,-76.6865177,kroger,4,3,4,3,"Williamsburg, VA",Virginia
"4511 John Tyler Hwy Williamsburg, VA 23185",Williamsburg,VA,23185,37.251464,-76.76369,kroger,4,3,4,3,"Williamsburg, VA",Virginia
"6500-C George Washington Memorial Hwy Grafton, VA 23692",Grafton,VA,23692,37.1730607,-76.4725823,kroger,4,3,4,3,"Grafton, VA",Virginia
"5007 Victory Blvd Yorktown, VA 23693",Yorktown,VA,23693,37.113543,-76.466555,kroger,4,3,4,3,"Yorktown, VA",Virginia
"12404 Warwick Blvd Newport News, VA 23606",Newport News,VA,23606,37.06857,-76.491554,kroger,4,3,4,3,"Newport News, VA",Virginia
"1790 E Market St Harrisonburg, VA 22801",Harrisonburg,VA,22801,38.4316385,-78.8406856,kroger,4,3,4,3,"Harrisonburg, VA",Virginia
"159 Community Drive Charlottesville, VA 22911",Charlottesville,VA,22911,38.1274717,-78.4437236,kroger,4,3,4,3,"Charlottesville, VA",Virginia
"1980 Rio Hill Ctr Charlottesville, VA 22901",Charlottesville,VA,22901,38.0892084,-78.4740311,kroger,4,3,4,3,"Charlottesville, VA",Virginia
"1904 Emmet St N Charlottesville, VA 22901",Charlottesville,VA,22901,38.0595317,-78.4911958,kroger,4,3,4,3,"Charlottesville, VA",Virginia
"1159 Emmet St N Charlottesville, VA 22903",Charlottesville,VA,22903,38.0535892,-78.5006568,kroger,4,3,4,3,"Charlottesville, VA",Virginia
"975 Emmet Street Space 8 CHARLOTTESVILLE, VA 22903",Charlottesville,VA,22903,38.0500621,-78.5045993,kroger,4,3,4,3,"Charlottesville, VA",Virginia
"545 Radford Ln Building A CHARLOTTESVILLE, VA 22903",Charlottesville,VA,22903,38.0508762,-78.6819627,kroger,4,3,4,3,"Charlottesville, VA",Virginia
"245 Arch Ave Waynesboro, VA 22980",Waynesboro,VA,22980,38.0656139,-78.8885241,kroger,4,3,4,3,"Waynesboro, VA",Virginia
"850 Statler Blvd Staunton, VA 24401",Staunton,VA,24401,38.1393089,-79.0686715,kroger,4,3,4,3,"Staunton, VA",Virginia
"7789 Richmond Hwy Appomattox, VA 24522",Appomattox,VA,24522,37.3659656,-78.8444999,kroger,4,3,4,3,"Appomattox, VA",Virginia
"422 E Nelson St Lexington, VA 24450",Lexington,VA,24450,37.7808696,-79.4361553,kroger,4,3,4,3,"Lexington, VA",Virginia
"4119 Boonsboro Rd Lynchburg, VA 24503",Lynchburg,VA,24503,37.4423929,-79.2039943,kroger,4,3,4,3,"Lynchburg, VA",Virginia
"2012 Wards Rd Lynchburg, VA 24502",Lynchburg,VA,24502,37.3749965,-79.1835381,kroger,4,3,4,3,"Lynchburg, VA",Virginia
"7805 Timberlake Rd Lynchburg, VA 24502",Lynchburg,VA,24502,37.3541197,-79.2268709,kroger,4,3,4,3,"Lynchburg, VA",Virginia
"1618 Main St Clifton Forge, VA 24422",Clifton Forge,VA,24422,37.816521,-79.8090816,kroger,4,3,4,3,"Clifton Forge, VA",Virginia
"15069 Forest Rd Forest, VA 24551",Forest,VA,24551,37.3641567,-79.2949382,kroger,4,3,4,3,"Forest, VA",Virginia
"1050 W Mercury Blvd Hampton, VA 23666",Hampton,VA,23666,37.044892,-76.383417,kroger,4,3,4,3,"Hampton, VA",Virginia
"227 Fox Hill Road, A01 Hampton, VA 23669",Hampton,VA,23669,37.05826,-76.32846,kroger,4,3,4,3,"Hampton, VA",Virginia
"1282 Smithfield Plaza Smithfield, VA 23430",Smithfield,VA,23430,36.955618,-76.603377,kroger,4,3,4,3,"Smithfield, VA",Virginia
"179 W Ocean View Ave Norfolk, VA 23503",Norfolk,VA,23503,36.954299,-76.253331,kroger,4,3,4,3,"Norfolk, VA",Virginia
"7550 Granby St. Norfolk, VA 23505",Norfolk,VA,23505,36.9139568,-76.2712559,kroger,4,3,4,3,"Norfolk, VA",Virginia
"1017 University Blvd Suffolk, VA 23435",Suffolk,VA,23435,36.872355,-76.42044,kroger,4,3,4,3,"Suffolk, VA",Virginia
"3575 Bridge Rd Suffolk, VA 23435",Suffolk,VA,23435,36.860941,-76.466973,kroger,4,3,4,3,"Suffolk, VA",Virginia
"3249 Tyre Neck Rd. PORTSMOUTH, VA 23703",Portsmouth,VA,23703,36.8623219,-76.3944573,kroger,4,3,4,3,"Portsmouth, VA",Virginia
"1320 Colonial Ave Norfolk, VA 23517",Norfolk,VA,23517,36.8648395,-76.2925258,kroger,4,3,4,3,"Norfolk, VA",Virginia
"1301 Frederick Boulevard Portsmouth, VA 23707",Portsmouth,VA,23707,36.8278206,-76.3364933,kroger,4,3,4,3,"Portsmouth, VA",Virginia
"4625 Shore Dr Virginia Beach, VA 23455",Virginia Beach,VA,23455,36.9030363,-76.1304624,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"1069 Independence Blvd Virginia Beach, VA 23455",Virginia Beach,VA,23455,36.872869,-76.135972,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"1401 North Main Street Suffolk, VA 23434",Suffolk,VA,23434,36.74948,-76.585462,kroger,4,3,4,3,"Suffolk, VA",Virginia
"975 Providence Sq Shopping Ctr Virginia Beach, VA 23464",Virginia Beach,VA,23464,36.8122513,-76.167841,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"2110 Great Neck Sq Virginia Beach, VA 23454",Virginia Beach,VA,23454,36.87544,-76.037599,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"1653 Sentinel Drive Chesapeake, VA 23320",Chesapeake,VA,23320,36.778298,-76.253951,kroger,4,3,4,3,"Chesapeake, VA",Virginia
"3330 Virginia Beach Blvd Virginia Beach, VA 23452",Virginia Beach,VA,23452,36.8440745,-76.0882684,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"3333 Virginia Beach Boulevard Virginia Beach, VA 23451",Virginia Beach,VA,23451,36.8409189,-76.0862686,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"5060 Ferrell Pkwy Virginia Beach, VA 23464",Virginia Beach,VA,23464,36.7938231,-76.1691567,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"4540 Princess Anne Rd Virginia Beach, VA 23462",Virginia Beach,VA,23462,36.807236,-76.1327354,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"1216 Greenbrier Parkway CHESAPEAKE, VA 23320",Chesapeake,VA,23320,36.7693582,-76.2300646,kroger,4,3,4,3,"Chesapeake, VA",Virginia
"3901 Holland Road Virginia Beach, VA 23452",Virginia Beach,VA,23452,36.8132715,-76.1111927,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"1800 Republic Rd Virginia Beach, VA 23454",Virginia Beach,VA,23454,36.8523856,-76.0280787,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"1400 Kempsville Road #109 Chesapeake, VA 23320",Chesapeake,VA,23320,36.76445,-76.20226,kroger,4,3,4,3,"Chesapeake, VA",Virginia
"2800 Arctic Avenue Virginia Beach, VA 23451",Virginia Beach,VA,23451,36.8557663,-75.9810611,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"309 South Battlefield Blvd Chesapeake, VA 23322",Chesapeake,VA,23322,36.714967,-76.237417,kroger,4,3,4,3,"Chesapeake, VA",Virginia
"1464 Mt Pleasant Road Chesapeake, VA 23322",Chesapeake,VA,23322,36.716656,-76.187727,kroger,4,3,4,3,"Chesapeake, VA",Virginia
"237 Hanbury Road East CHESAPEAKE, VA 23322",Chesapeake,VA,23322,36.6857121,-76.2249127,kroger,4,3,4,3,"Chesapeake, VA",Virginia
"2476 Nimmo Parkway Virginia Beach, VA 23456",Virginia Beach,VA,23456,36.7548804,-76.0651771,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"2129 General Booth Boulevard Virginia Beach, VA 23454",Virginia Beach,VA,23454,36.76776,-76.01541,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"2105 Princess Anne Rd. Virginia Beach, VA 23456",Virginia Beach,VA,23456,36.7516257,-76.0118395,kroger,4,3,4,3,"Virginia Beach, VA",Virginia
"601 Currituck Clubhouse Dr . COROLLA, NC 27927",Corolla,NC,27927,36.3030868,-75.8065443,kroger,4,3,4,3,"Corolla, NC",North Carolina
"5400 North Croatan Hwy #A Kitty Hawk, NC 27949",Kitty Hawk,NC,27949,36.0972627,-75.7192362,kroger,4,3,4,3,"Kitty Hawk, NC",North Carolina
"3679 Sunset Avenue Rocky Mount, NC 27801",Rocky Mount,NC,27801,35.9626437,-77.8521997,kroger,4,3,4,3,"Rocky Mount, NC",North Carolina
"13686 Capital Blvd. WAKE FOREST, NC 27587",Wake Forest,NC,27587,36.005386,-78.5182797,kroger,4,3,4,3,"Wake Forest, NC",North Carolina
"614 Brandon Ave Sw Roanoke, VA 24015",Roanoke,VA,24015,37.256175,-79.956016,kroger,4,3,4,3,"Roanoke, VA",Virginia
"915 Hardy Rd Vinton, VA 24179",Vinton,VA,24179,37.2718692,-79.8871144,kroger,4,3,4,3,"Vinton, VA",Virginia
"4488 Electric Rd Roanoke, VA 24018",Roanoke,VA,24018,37.2332055,-79.9765167,kroger,4,3,4,3,"Roanoke, VA",Virginia
"5050 Rutgers St Nw Roanoke, VA 24012",Roanoke,VA,24012,37.3171968,-79.9654969,kroger,4,3,4,3,"Roanoke, VA",Virginia
"3971 Brambleton Ave Roanoke, VA 24018",Roanoke,VA,24018,37.2331066,-80.0090473,kroger,4,3,4,3,"Roanoke, VA",Virginia
